SNo,City,Chinese,Province,Prefecture,Type,Founded
,,,,,,(PRC)
572,Yibin,宜宾市,Sichuan,direct administration,Prefecture-level city,1/10/1949
573,Zigong,自贡市,Sichuan,direct administration,Prefecture-level city,4/4/1952
574,Ziyang,资阳市,Sichuan,direct administration,Prefecture-level city,19-01-93
575,Lhasa,拉萨市,Tibet,direct administration,Prefecture-level city,7/1/1960
576,Xigazê,日喀则市,Tibet,direct administration,Prefecture-level city,12/12/1986
577,Qamdo,昌都市,Tibet,direct administration,Prefecture-level city,29-10-14
578,Nyingchi,林芝市,Tibet,direct administration,Prefecture-level city,16-03-15
579,Aksu,阿克苏市,Xinjiang,Aksu,County-Level City,19-08-83
580,Alashankou,阿拉山口市,Xinjiang,Bortala,County-Level City,17-12-12
581,Altay,阿勒泰市,Xinjiang,Altay,County-Level City,17-11-84
582,Aral,阿拉尔市,Xinjiang,none,County-Level City,17-09-02
583,Artux,阿图什市,Xinjiang,Kizilsu,County-Level City,7/6/1986
584,Beitun,北屯市,Xinjiang,none,County-Level City,27-12-11
585,Bole,博乐市,Xinjiang,Bortala,County-Level City,24-06-85
586,Changji,昌吉市,Xinjiang,Changji,County-Level City,21-07-83
587,Fukang,阜康市,Xinjiang,Changji,County-Level City,3/11/1992
588,Yining,伊宁市,Xinjiang,Ili,County-Level City,22-05-53
589,Hotan,和田市,Xinjiang,Hotan,County-Level City,9/9/1983
590,Karamay,克拉玛依市,Xinjiang,direct administration,Prefecture-level city,29-05-58
591,Kashgar,喀什市,Xinjiang,Kashgar,County-Level City,22-05-53
592,Korgas,霍尔果斯市,Xinjiang,Ili,County-Level City,26-06-14
593,Kokdala,可克达拉市,Xinjiang,none,County-Level City,16-03-15
594,Korla,库尔勒市,Xinjiang,Bayingolin,County-Level City,2/9/1979
595,Kumul,哈密市,Xinjiang,Kumul,County-Level City,25-01-61
596,Kuytun,奎屯市,Xinjiang,Ili,County-Level City,29-08-75
597,Shihezi,石河子市,Xinjiang,none,County-Level City,2/1/1976
598,Shuanghe,双河市,Xinjiang,none,County-Level City,25-01-14
599,Tumxuk,图木舒克市,Xinjiang,none,County-Level City,17-09-02
600,Tacheng,塔城市,Xinjiang,Tacheng,County-Level City,17-11-84
601,Tiemenguan,铁门关市,Xinjiang,none,County-Level City,17-12-12
602,Turpan,吐鲁番市,Xinjiang,direct administration,Prefecture-level city,16-03-15
603,Ürümqi,乌鲁木齐市,Xinjiang,direct administration,Prefecture-level city,1/10/1949
604,Wujiaqu,五家渠市,Xinjiang,none,County-Level City,17-09-02
605,Wusu,乌苏市,Xinjiang,Tacheng,County-Level City,10/7/1996
606,Anning,安宁市,Yunnan,Kunming,County-Level City,13-10-95
607,Baoshan,保山市,Yunnan,direct administration,Prefecture-level city,9/9/1983
608,Chuxiong,楚雄市,Yunnan,Chuxiong,County-Level City,9/9/1983
609,Dali,大理市,Yunnan,Dali,County-Level City,13-09-60
610,Gejiu,个旧市,Yunnan,Honghe,County-Level City,10/1/1951
611,Jinghong,景洪市,Yunnan,Xishuangbanna,County-Level City,22-12-93
612,Kaiyuan,开远市,Yunnan,Honghe,County-Level City,18-01-81
613,Kunming,昆明市,Yunnan,direct administration,Prefecture-level city,1/10/1949
614,Lincang,临沧市,Yunnan,direct administration,Prefecture-level city,26-12-03
615,Lijiang,丽江市,Yunnan,direct administration,Prefecture-level city,26-12-02
616,Mang,芒市,Yunnan,Dehong,County-Level City,28-10-96
617,Mengzi,蒙自市,Yunnan,Honghe,County-Level City,10/9/2010
618,Mile,弥勒市,Yunnan,Honghe,County-Level City,24-01-13
619,Pu'er,普洱市,Yunnan,direct administration,Prefecture-level city,25-03-93
620,Qujing,曲靖市,Yunnan,direct administration,Prefecture-level city,9/9/1983
621,Ruili,瑞丽市,Yunnan,Dehong,County-Level City,26-06-92
622,Shangri-La,香格里拉市,Yunnan,Dêqên,County-Level City,25-12-14
623,Xuanwei,宣威市,Yunnan,Qujing,County-Level City,18-02-94
624,Yuxi,玉溪市,Yunnan,direct administration,Prefecture-level city,9/9/1983
625,Zhaotong,昭通市,Yunnan,direct administration,Prefecture-level city,18-01-81
626,Cixi,慈溪市,Zhejiang,Ningbo,County-Level City,13-10-88
627,Dongyang,东阳市,Zhejiang,Jinhua,County-Level City,25-05-88
628,Fenghua,奉化市,Zhejiang,Ningbo,County-Level City,13-10-88
629,Haining,海宁市,Zhejiang,Jiaxing,County-Level City,1/3/1986
630,Hangzhou,杭州市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
631,Huzhou,湖州市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
632,Jiande,建德市,Zhejiang,Hangzhou,County-Level City,1/4/1992
633,Jiangshan,江山市,Zhejiang,Quzhou,County-Level City,27-11-87
634,Jiaxing,嘉兴市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
635,Jinhua,金华市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
636,Lanxi,兰溪市,Zhejiang,Jinhua,County-Level City,1/10/1949
637,Longquan,龙泉市,Zhejiang,Lishui,County-Level City,26-12-90
638,Lin'an,临安市,Zhejiang,Hangzhou,County-Level City,28-10-96
639,Linhai,临海市,Zhejiang,Taizhou,County-Level City,1/3/1986
640,Lishui,丽水市,Zhejiang,direct administration,Prefecture-level city,1/3/1986
641,Ningbo,宁波市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
642,Pinghu,平湖市,Zhejiang,Jiaxing,County-Level City,15-06-91
643,Quzhou,衢州市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
644,Ruian,瑞安市,Zhejiang,Wenzhou,County-Level City,15-04-87
645,Shaoxing,绍兴市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
646,Shengzhou,嵊州市,Zhejiang,Shaoxing,County-Level City,30-08-95
647,Taizhou,台州市,Zhejiang,direct administration,Prefecture-level city,22-08-94
648,Tongxiang,桐乡市,Zhejiang,Jiaxing,County-Level City,26-03-93
649,Wenling,温岭市,Zhejiang,Taizhou,County-Level City,18-02-94
650,Wenzhou,温州市,Zhejiang,direct administration,Prefecture-level city,1/10/1949
651,Yueqing,乐清市,Zhejiang,Wenzhou,County-Level City,18-09-93
652,Yongkang,永康市,Zhejiang,Jinhua,County-Level City,24-08-92
653,Yiwu,义乌市,Zhejiang,Jinhua,County-Level City,25-05-88
654,Yuyao,余姚市,Zhejiang,Ningbo,County-Level City,16-07-85
655,Zhoushan,舟山市,Zhejiang,direct administration,Prefecture-level city,23-01-87
656,Zhuji,诸暨市,Zhejiang,Shaoxing,County-Level City,27-09-89
,,,,,,
,,,,,,
"For other information, kindly visit : www.downloadexcelfiles.com",,,,,,
